category,month,total_sales,total_profit
Furniture,Sep,223145.0,38773.0
Furniture,Oct,195032.0,35746.0
Furniture,Mar,239402.0,43080.0
Office Supplies,Feb,560564.0,99729.0
Technology,Jul,206072.0,36601.0
Office Supplies,Dec,666094.0,118296.0
Furniture,Aug,197325.0,35081.0
Office Supplies,Jul,540936.0,97473.0
Office Supplies,Jun,494928.0,89154.0
Technology,Sep,172350.0,30315.0
Technology,Dec,229625.0,40048.0
Technology,Jun,231842.0,42926.0
Office Supplies,Jan,637836.0,115554.0
Technology,Aug,194493.0,33479.0
Technology,Oct,252781.0,42035.0
Technology,Jan,232743.0,43760.0
Office Supplies,Mar,599512.0,101791.0
Office Supplies,Aug,551328.0,101132.0
Office Supplies,Sep,560725.0,95698.0
Office Supplies,Oct,600806.0,103025.0
Furniture,Nov,194947.0,33232.0
Office Supplies,Nov,543234.0,92902.0
Technology,May,208719.0,35269.0
Furniture,Feb,166865.0,31548.0
Office Supplies,Apr,534067.0,95685.0
Furniture,Jan,188652.0,33264.0
Furniture,Jun,188393.0,34106.0
Technology,Nov,246117.0,43214.0
Technology,Mar,206770.0,36485.0
Technology,Feb,186101.0,30692.0
Furniture,Apr,221756.0,39853.0
Technology,Apr,218237.0,37869.0
Furniture,Dec,198120.0,35487.0
Office Supplies,May,574710.0,102894.0
Furniture,Jul,166342.0,29966.0
Furniture,May,200383.0,37694.0
