region,month_name,total_sales
South,Mar,202947.0
South,Jan,177054.0
East,Apr,285874.0
East,Nov,296484.0
Central,May,244764.0
East,Mar,267044.0
Central,Oct,219996.0
South,Nov,159263.0
Central,Apr,238364.0
South,Jul,133302.0
Central,Mar,263728.0
East,Jan,285186.0
West,Apr,274305.0
East,Sep,259322.0
South,Sep,180763.0
West,Aug,264406.0
Central,Nov,237007.0
South,Feb,186713.0
West,Mar,296140.0
South,Dec,202018.0
East,Feb,258931.0
West,Dec,342356.0
West,Sep,272132.0
Central,Sep,227785.0
South,Aug,181546.0
East,Jun,231136.0
West,Jan,336213.0
South,Apr,157121.0
Central,Dec,243497.0
West,Oct,307244.0
Central,Jun,220772.0
Central,Aug,203170.0
East,Oct,314068.0
West,Jun,275139.0
West,Jul,281626.0
West,Nov,281435.0
East,Dec,294594.0
South,Jun,169445.0
East,Jul,266602.0
East,May,258840.0
South,Oct,181778.0
Central,Jul,218916.0
Central,Jan,243911.0
East,Aug,276663.0
Central,Feb,218802.0
South,May,183610.0
West,May,282764.0
West,Feb,216794.0
