segment,month_name,total_sales,total_profit
Corporate,Oct,326009.0,55626.0
Home Office,Jul,185463.0,32205.0
Consumer,Jul,473959.0,84430.0
Corporate,Mar,292885.0,50900.0
Consumer,Nov,455974.0,78875.0
Home Office,Aug,156193.0,26989.0
Consumer,Aug,514389.0,94611.0
Corporate,Aug,272564.0,48092.0
Home Office,Apr,174444.0,31350.0
Consumer,Jun,472961.0,84707.0
Consumer,May,499286.0,88265.0
Home Office,Sep,153010.0,25460.0
Corporate,Jul,253928.0,47405.0
Corporate,Dec,368981.0,65198.0
Corporate,May,309046.0,55425.0
Corporate,Apr,301776.0,52648.0
Home Office,May,175480.0,32167.0
Home Office,Jan,198736.0,36007.0
Home Office,Jun,160269.0,30120.0
Consumer,Sep,519097.0,89297.0
Home Office,Mar,199526.0,32682.0
Consumer,Apr,497840.0,89409.0
Home Office,Nov,193997.0,33860.0
Home Office,Oct,199511.0,34733.0
Consumer,Dec,542523.0,98078.0
Corporate,Nov,334327.0,56613.0
Corporate,Sep,284113.0,50029.0
Corporate,Feb,292699.0,49950.0
Home Office,Feb,162942.0,29788.0
Consumer,Mar,553273.0,97774.0
Consumer,Oct,523099.0,90447.0
Corporate,Jan,356173.0,63177.0
Consumer,Jan,504322.0,93394.0
Corporate,Jun,281933.0,51359.0
Home Office,Dec,182335.0,30555.0
Consumer,Feb,457889.0,82231.0
